id;titular;contenido;url_imagen;origen;fecha
11;Las hermandades intensifican ensayos de costaleros con protocolos de prevención por calor;Con la previsión de temperaturas por encima de la media en varios días de la Cuaresma, numerosas hermandades han intensificado los ensayos de costaleros incorporando protocolos específicos de hidratación, pausas y control de síntomas. Equipos de capataces y auxiliares sanitarios insisten en la importancia de una preparación física gradual para evitar sobrecargas en las semanas previas a la estación de penitencia. También se están revisando horarios de ensayo para esquivar las franjas de mayor insolación y mejorar el rendimiento de las cuadrillas, una medida que ha sido bien recibida por los propios costaleros y por especialistas en medicina deportiva consultados por este medio.;https://imgs.search.brave.com/ywv6be19fPX_-WZmxwx2wgo7cnB9sORiumyRx-Vz_Ps/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9zMS5h/YmNzdGF0aWNzLmNv/bS9hYmMvd3d3L211/bHRpbWVkaWEvc2V2/aWxsYS8yMDI0LzAy/LzI2L2Vuc2F5b3Mt/Y29zdGFsZXJvcy1S/MGQ4SUg2SnMyVE9h/VW9NbHdWaTI0TS0x/MjAweDg0MEBkaWFy/aW9fYWJjLmpwZw;ABC de Sevilla;2026-03-27 19:05:00
12;El Arzobispado anima a vivir una Semana Santa con mayor participación en cultos y acción social;El Arzobispado de Sevilla ha hecho un llamamiento a reforzar la dimensión pastoral de la Semana Santa, invitando a cofrades y fieles a participar en los cultos internos y en iniciativas de acción social promovidas por las hermandades. El comunicado subraya que la proyección pública de las cofradías debe ir acompañada de compromiso con los barrios, especialmente en programas de apoyo a familias vulnerables y acompañamiento a mayores. Distintas corporaciones han anunciado campañas de recogida de alimentos, colaboración con entidades benéficas y proyectos de inserción, en línea con una visión integral de la vida hermandadera más allá de la salida procesional.;https://imgs.search.brave.com/5-NTHM2lfStyi0OS72RwGd0x2ofOf1H-Ei20PnPw2HA/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/YXJjaGlzZXZpbGxh/Lm9yZy93cC1jb250/ZW50L3VwbG9hZHMv/MjAxNS8wMy8wMjEx/Ny03OTZ4NDQ4Lmpw/Zw;Archidiócesis de Sevilla;2026-03-28 08:30:00
13;Se refuerza la cobertura sanitaria con equipos móviles en los principales puntos de concentración;La planificación sanitaria para la Semana Santa de Sevilla incorporará este año equipos móviles de intervención rápida en zonas de alta densidad de público, con especial atención a la franja nocturna y a los itinerarios de mayor complejidad. El dispositivo, coordinado con emergencias y protección civil, incluye personal médico, recursos de soporte vital básico y protocolos de derivación para reducir tiempos de respuesta. Las autoridades recuerdan la importancia de seguir recomendaciones básicas como la hidratación, el uso de ropa adecuada y la localización previa de rutas de salida, especialmente para familias con menores y personas de edad avanzada.;https://imgs.search.brave.com/zn4KgK7XWlBHCDkBVd7KzoA-HVhMcQ76KPO0czsmX1M/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMuZ3J1cG9qb2x5/LmNvbS9jbGlwL2Jj/YmEyYmZjLTg0NTEt/NDJmMy05N2Y0LTc2/ODFhNzgwNjY3Zl9z/b3VyY2UtYXNwZWN0/LXJhdGlvXzE2MDB3/XzAuanBn;Canal Sur;2026-03-29 16:45:00
14;Los talleres de bordado trabajan a pleno ritmo en estrenos previstos para varios palios;Varios talleres de bordado de Sevilla afrontan las últimas semanas de trabajo antes de Semana Santa para culminar piezas que se estrenarán en palios y enseres de distintas hermandades. Maestros artesanos consultados explican que la carga de encargos se ha incrementado en los últimos años por el interés en recuperar diseños históricos y por la apuesta de muchas corporaciones por intervenciones de alta calidad técnica. Además de los estrenos, los talleres están dedicando una parte creciente de su actividad a labores de conservación y restauración, una línea que consideran clave para preservar el patrimonio textil cofrade a medio y largo plazo.;https://imgs.search.brave.com/PFkVyqSemeS-kHhdM-eP7mwZrN3eIwfdwZ0gATGMlu4/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9zMS5h/YmNzdGF0aWNzLmNv/bS9hYmMvc2V2aWxs/YS9tZWRpYS9wYXNp/b25lbnNldmlsbGEv/MjAxNC8wNy9wYWxl/dGVpcm8tYm9yZGFk/b3IuanBn;Diario de Sevilla;2026-03-30 10:15:00
15;Movilidad recomienda rutas peatonales alternativas para reducir saturación en el casco histórico;El área de Movilidad del Ayuntamiento ha difundido una batería de rutas peatonales recomendadas para disminuir la saturación en calles del casco histórico durante los días de mayor tránsito procesional. El plan identifica corredores de paso más fluidos y zonas de observación seguras para evitar aglomeraciones en cruces críticos, especialmente en las horas de tarde y noche. Técnicos municipales destacan que la colaboración ciudadana será determinante para mejorar la experiencia general, y piden atender a las indicaciones de agentes y voluntarios en los momentos de mayor afluencia.;https://imgs.search.brave.com/fEqLQi-JB-KDREzGj9R_0X3vXZA6b-0XafKZfanujOA/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZW5lcy5lbGRlYmF0/ZS5jb20vZmlsZXMv/dmVydGljYWxfY29t/cG9zdGVfaW1hZ2Uv/dXBsb2Fkcy8yMDI2/LzAzLzI3LzY5YzYz/Zjk2MjBkYTMuanBl/Zw;Ayuntamiento de Sevilla;2026-03-31 14:50:00
16;El comercio local prevé una campaña sólida impulsada por turismo nacional y gasto en restauración;Organizaciones empresariales de Sevilla prevén una campaña de Semana Santa sólida para el comercio local, con especial dinamismo en hostelería, moda y venta de recuerdos vinculados a la tradición cofrade. Los primeros indicadores apuntan a un incremento del consumo en restauración durante fines de semana previos y una mayor reserva de mesas en zonas próximas a los principales itinerarios. Aunque el balance definitivo dependerá de la meteorología, los empresarios confían en mantener una evolución positiva y en consolidar la recuperación del tejido comercial tras varias campañas condicionadas por factores externos.;https://imgs.search.brave.com/VSU8E-T0b79d-NXx56g0f0pULvRt6pXNQy37oS6En1g/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9jb2Zy/YWRpYXN3ZWIud29y/ZHByZXNzLmNvbS93/cC1jb250ZW50L3Vw/bG9hZHMvMjAyMC8x/MS90dXJpc21vLXNl/bWFuYS1zYW50YS1r/OHdiLTYyMHgzNDk0/MGFiYy5qcGc_dz02/MjA;Hosteltur;2026-04-01 13:25:00
17;Nuevas guías para visitantes explican horarios, recorridos y normas de convivencia en la vía pública;Entidades turísticas y administraciones han presentado nuevas guías informativas para visitantes con mapas de recorridos, franjas orientativas de paso y recomendaciones de convivencia en espacios de alta concentración. El material se distribuirá en formato digital y en puntos físicos de información para facilitar una experiencia más ordenada y respetuosa con los residentes. Entre las pautas destacadas figuran mantener despejadas las zonas de seguridad, evitar el uso de mobiliario no autorizado y planificar desplazamientos con margen suficiente, especialmente en jornadas con varias cofradías coincidiendo en el centro.;https://imgs.search.brave.com/ETeWUn-q7cZGo_wEIQIXb3NE3wuZ9dGS3dwyw5K-guI/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMuZ3J1cG9qb2x5/LmNvbS9jbGlwLzRl/MGRhNWQ2LTNiNjEt/NDhmZi05ZDgwLTA3/NmUyM2Y1MDc2NV8x/Ni05LWFzcGVjdC1y/YXRpb18xNjAwd18w/LmpwZw;Turismo de Sevilla;2026-04-02 09:40:00
18;El pregón de 2026 reivindica la memoria de los barrios y el papel social de las hermandades;El pregón de la Semana Santa de Sevilla 2026 ha puesto el foco en la memoria de los barrios, en la transmisión intergeneracional de la tradición y en el papel social que desempeñan las hermandades durante todo el año. El discurso, seguido por una amplia representación institucional y cofrade, combinó referencias históricas con una lectura actual de los desafíos de la ciudad, desde la convivencia en el espacio público hasta la atención a quienes atraviesan situaciones de vulnerabilidad. La intervención ha sido valorada por analistas y público como una llamada a equilibrar emoción, patrimonio y responsabilidad cívica en una celebración de alcance internacional.;https://imgs.search.brave.com/Chg_dZX8TaWdo9fH0es4YAYr1XWtY8WffOOMmE6w2x0/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/ZWxwZXNwdW50ZS5l/cy9hc3NldC96b29t/Y3JvcCwxMjgwLDcy/MCxjZW50ZXIsY2Vu/dGVyL21lZGlhL2Vs/cGVzcHVudGUvaW1h/Z2VzLzIwMjYvMDMv/MjIvMjAyNjAzMjIy/MzQ1NTg5NjExMi5q/cGc;ABC de Sevilla;2026-04-03 21:10:00
19;Las radios locales amplían programación especial con conexiones en directo desde los templos;Emisoras locales de Sevilla han anunciado una programación especial de Semana Santa con conexiones en directo desde templos, análisis de itinerarios y espacios divulgativos sobre música procesional y patrimonio artístico. La cobertura, que se reforzará durante toda la semana, incluirá también boletines de servicio para informar sobre movilidad, incidencias y cambios de última hora en los recorridos. Profesionales del sector destacan que el formato de radio de proximidad mantiene una alta utilidad para residentes y visitantes, al ofrecer contexto inmediato y seguimiento continuo en una ciudad con movimientos constantes durante estas fechas.;https://imgs.search.brave.com/OwSddHJjk8gdNolHc0TuIxcZvvWSOiiyszjvJ1Q2lP8/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/Y2FuYWxzdXIuZXMv/cmVzb3VyY2VzL2Fy/Y2hpdm9zX29mZmxp/bmUvMjAyMy80LzEv/MTY4MDM1MjU4MDA1/M0NhbmFsX1N1cl9S/YWRpb19TU2FudGEu/anBn;Canal Sur Sevilla;2026-04-04 07:35:00
20;Cierra la Cuaresma con alta participación en besamanos y conciertos de marchas procesionales;La ciudad cierra la Cuaresma con un notable aumento de participación en besamanos, vía crucis y conciertos de marchas procesionales celebrados en parroquias, teatros y espacios culturales. Hermandades y organizadores destacan la diversidad de perfiles asistentes, con presencia creciente de público joven y de visitantes atraídos por la oferta cultural previa a los días grandes. El balance general confirma una intensa actividad preparatoria y un clima de expectación que, según expertos en cultura popular, refuerza el papel de la Semana Santa como fenómeno religioso, patrimonial y social de primer orden en Sevilla.;https://imgs.search.brave.com/pLgCUlOftlz0hD0Wn4TEub5suzl_dMMMh-ZFB5xlKYg/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9zMS5h/YmNzdGF0aWNzLmNv/bS9hYmMvd3d3L211/bHRpbWVkaWEvc2V2/aWxsYS8yMDI2LzAz/LzI3L2Jlc2FtYW5v/cy1ncmFuLXBvZGVy/LXNhYmFkbyg2KV94/b3B0aW1pemFkYXgt/LTc1OHg1MzEuanBn;Diario de Sevilla;2026-04-05 22:00:00
